Theta(deg) Phi(deg) RCS(dBsm)
130.0 90.0 -30.884282940252888
131.0 90.0 -30.802380417744534
132.0 90.0 -30.720695570483556
133.0 90.0 -30.639317173973815
134.0 90.0 -30.558331702209117
135.0 90.0 -30.477823325345327
136.0 90.0 -30.397873913375754
137.0 90.0 -30.318563044985275
138.0 90.0 -30.239968020825003
139.0 90.0 -30.16216388051117
140.0 90.0 -30.085223422716414
141.0 90.0 -30.009217227778635
142.0 90.0 -29.93421368231294
143.0 90.0 -29.860279005363477
144.0 90.0 -29.78747727568477
145.0 90.0 -29.715870459788572
146.0 90.0 -29.64551844043632
147.0 90.0 -29.57647904529896
148.0 90.0 -29.50880807554054
149.0 90.0 -29.442559334119203
150.0 90.0 -29.377784653626957
151.0 90.0 -29.314533923518965
152.0 90.0 -29.252855116607538
153.0 90.0 -29.19279431471823
154.0 90.0 -29.134395733425006
155.0 90.0 -29.077701745799246
156.0 90.0 -29.022752905122537
157.0 90.0 -28.96958796652612
158.0 90.0 -28.91824390753255
159.0 90.0 -28.868755947484047
160.0 90.0 -28.821157565851102
161.0 90.0 -28.77548051942265
162.0 90.0 -28.73175485838397
163.0 90.0 -28.69000894129481
164.0 90.0 -28.650269448984
165.0 90.0 -28.61256139737947
166.0 90.0 -28.5769081492966
167.0 90.0 -28.543331425208336
168.0 90.0 -28.511851313023143
169.0 90.0 -28.48248627689722
170.0 90.0 -28.45525316510802
171.0 90.0 -28.430167217017445
172.0 90.0 -28.407242069150684
173.0 90.0 -28.386489760419494
174.0 90.0 -28.36792073651587
175.0 90.0 -28.35154385350252
176.0 90.0 -28.337366380626044
177.0 90.0 -28.325394002377347
178.0 90.0 -28.315630819823564
179.0 90.0 -28.308079351234916
180.0 90.0 -28.302740532028807
