Theta(deg),RCS(dBsm)
169.02254956359286,6.404601907343643
169.59550735872367,6.402694443396099
170.1684651538545,6.400322089518112
170.74142294898533,6.397566668125374
171.31438074411616,6.39450858651747
171.88733853924697,6.3912263229873725
172.4602963343778,6.387795931329935
173.0332541295086,6.384290565204744
173.60621192463944,6.380780023949487
174.17916971977027,6.377330321549859
174.7521275149011,6.374003280551765
175.3250853100319,6.37085615274605
175.89804310516274,6.367941268463594
176.47100090029355,6.3653057162913935
177.04395869542438,6.362991054954047
177.6169164905552,6.361033059004764
178.18987428568602,6.359461499834903
178.76283208081685,6.358299963344686
179.33578987594765,6.3575657054231085
179.9087476710785,6.357269546166665
